"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","id","media/0/media_url","media/0/type","media/1/media_url","media/1/type","media/2/media_url","media/2/type","media/3/media_url","media/3/type","reply_count","retweet_count","startUrl","symbols/0","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","urls/1/display_url","urls/1/expanded_url","urls/1/url","urls/2/display_url","urls/2/expanded_url","urls/2/url","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name","user_mentions/2/id_str","user_mentions/2/name","user_mentions/2/screen_name","user_mentions/3/id_str","user_mentions/3/name","user_mentions/3/screen_name","user_mentions/4/id_str","user_mentions/4/name","user_mentions/4/screen_name","view_count"
"1620189594955440128","2023-01-30T22:37:55.000Z","279","Federal spending decreased 12.4% in FY2022 after remaining relatively flat in FY2021. Measure the nation's progress with numbers instead of rhetoric. See more data on the state of our nation.",,,,,,,,,,,,,,,,,,,,,,"1620189594955440128",,,,,,,,,"72","147","https://twitter.com/search?q=udinus&src=typed_query",,"https://twitter.com/USAFacts/status/1620189594955440128",,,,,,,,,,,,,,,,,,,,,,,,,"133066"
"1619919602603130881","2023-01-30T05:27:52.000Z","20","@thomasoneze @memefess Naks udinus diaaa wkwkwk https://t.co/uwjDPuSwil",,,,,,,,,,,,,,,,,,,,,,"1619930373332541440","https://pbs.twimg.com/media/FnsmFXSaQAEnzyk.jpg","photo",,,,,,,"2","3","https://twitter.com/search?q=udinus&src=typed_query",,"https://twitter.com/monohaze_/status/1619930373332541440",,,,,,,,,,"911277501573357569","Ezekiel","thomasoneze","1145664973764321281","Condoriano","memefess",,,,,,,,,,"10001"
"1619704370291175430","2023-01-29T14:29:49.000Z","3","Menonton Deny caknan dengan gayaaa, alias kebetulan banget ada kerjaan dan Udinus ngadain konser 🤣 https://t.co/O1y2DTGgZ5",,,,,,,,,,,,,,,,,,,,,,"1619704370291175430","https://pbs.twimg.com/media/FnpYid1aMAIYjzV.jpg","photo",,,,,,,"1","0","https://twitter.com/search?q=udinus&src=typed_query",,"https://twitter.com/fluffygurlll/status/1619704370291175430",,,,,,,,,,,,,,,,,,,,,,,,,"482"
"1619698152831078402","2023-01-29T14:05:06.000Z","0","!dinusian ini masuk kuliah lagi kapan ya? gabut guling2 di rumah",,,,,,,,,,,,,,,,,,,,,,"1619698152831078402",,,,,,,,,"1","0","https://twitter.com/search?q=udinus&src=typed_query",,"https://twitter.com/MenfessUdinus/status/1619698152831078402",,,,,,,,,,,,,,,,,,,,,,,,,"1030"
"1619660436953260033","2023-01-29T11:35:14.000Z","11","!dinusian yang lagi di dinusfest jangan lupa mampir stand PSM yaa ada takoyaki enakk. 🙌🏻 https://t.co/KW2dXsMLCw",,,,,,,,,,,,,,,,,,,,,,"1619660436953260033","https://pbs.twimg.com/media/Fnowk-UacAAdXYU.jpg","photo",,,,,,,"3","0","https://twitter.com/search?q=udinus&src=typed_query",,"https://twitter.com/MenfessUdinus/status/1619660436953260033",,,,,,,,,,,,,,,,,,,,,,,,,"2539"
"1618972280285204480","2023-01-28T22:53:43.000Z","0","@MartiniGuyYT $NUSA 
NUSA FINANCE 🔥",,,,,,,,,,,,,,,,,,,,,,"1619468793222418432",,,,,,,,,"0","0","https://twitter.com/search?q=udinus&src=typed_query","NUSA","https://twitter.com/altudemun/status/1619468793222418432",,,,,,,,,,"782946231551131648","That Martini Guy ₿","MartiniGuyYT",,,,,,,,,,,,,"64"
"1619468263116935168","2023-01-28T22:51:36.000Z","0","GM Undip.eth",,,,,,,,,,,,,,,,,,,,,,"1619468263116935168",,,,,,,,,"1","0","https://twitter.com/search?q=udinus&src=typed_query",,"https://twitter.com/altudemun/status/1619468263116935168",,,,,,,,,,,,,,,,,,,,,,,,,"117"
"1619277195331117056","2023-01-28T22:51:07.000Z","0","@x07xz88 Gm",,,,,,,,,,,,,,,,,,,,,,"1619468139468840960",,,,,,,,,"0","0","https://twitter.com/search?q=udinus&src=typed_query",,"https://twitter.com/altudemun/status/1619468139468840960",,,,,,,,,,"1490415017073815556","Mohemed.eth","x07xz88",,,,,,,,,,,,,"58"
"1619194275107053568","2023-01-28T22:50:14.000Z","1","@Maddzamil @EnsSalesBot @MrAwesome_25 Kocak gila si",,,,,,,,,,,,,,,,,,,,,,"1619467915715313664",,,,,,,,,"0","0","https://twitter.com/search?q=udinus&src=typed_query",,"https://twitter.com/altudemun/status/1619467915715313664",,,,,,,,,,"1487747462777348097","Madd8️⃣","Maddzamil","1506671000439562247","ENS Sales Bot 🤖","EnsSalesBot","1486180652458610692","Mr.Awesome 8️⃣","MrAwesome_25",,,,,,,"94"
"1598252626143240195","2022-12-01T09:49:32.000Z","0","2. Rachel Priscila W. P. - Gold Medal Youth International Science Fair (YISF) 2022 by Indonesian Young Scientist Association (IYSA), Buca IMSEF &amp; Universitas Dian Nuswantoro https://t.co/B71heCF49r",,,,,,,,,,,,,,,,,,,,,,"1598252952103583745","https://pbs.twimg.com/media/Fi4iliRaUAE4w__.jpg","photo",,,,,,,"1","0","https://twitter.com/search?q=Universitas%20Dian%20Nuswantoro&src=typed_query",,"https://twitter.com/barisfisipub/status/1598252952103583745",,,,,,,,,,,,,,,,,,,,,,,,,
