caption,date,likes,comments,url
"Untuk kamu yang belum juga mendapatkan panggilan interview, coba periksa lagi apakah loker yang kamu lamar sudah relevan dengan skill & pengalaman yang kamu miliki.

…

Jasa CV paling recomended @konsultancv",2023-02-06 09:32:49,16,0,https://instagram.fsub2-3.fna.fbcdn.net/v/t51.2885-15/329157804_905930307204307_2823678289425391057_n.jpg?stp=dst-jpg_e15&_nc_ad=z-m&_nc_ht=instagram.fsub2-3.fna.fbcdn.net&_nc_cat=107&_nc_ohc=CWG-7PQIDlUAX-rARYl&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfATizTreC___7O9UJDPOc2bLjk02qXqGb_L27Rxo1fPfQ&oe=63E2DD63&_nc_sid=8fd12b
"Mending beli printer nggak gaes menurut kamu? 🤔

…

Jasa CV paling recomended @konsultancv",2023-02-06 08:05:17,175,3,https://instagram.fsub2-3.fna.fbcdn.net/v/t51.2885-15/329377698_216671290830741_8815439648559260826_n.webp?se=7&stp=dst-jpg_e35&_nc_ad=z-m&_nc_ht=instagram.fsub2-3.fna.fbcdn.net&_nc_cat=109&_nc_ohc=1-mIKZ1prNwAX-yEIjR&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzAzMjA2ODIwMTMyMzQ0MjI0Mg%3D%3D.2-ccb7-5&oh=00_AfAVaRyYvEp8RKcGPJhyMNzp0u33AOSCxILzw1ZRC1Drog&oe=63E6AE25&_nc_sid=8fd12b
