comment
"Hai, Dinusian!
Mengutamakan fokus, konsentrasi, dan kekompakan mengantarkan tim @caturudinus sebagai juara 2 pada kompetisi catur beregu tingkat nasional di Surabaya🏆

Diperolehnya juara ini semoga dapat semakin menjadi motivasi atlet catur Udinus untuk maju ke kompetisi tingkat internasional✨

Selamat ya, Dinusian!

Catur? Ya Udinus!
Udinus for a better future💙

#Udinus #UdinusSemarang #Udinuskediri #KampusJawaTengah #KampusJawaTimur #ForABetterFuture #UdinusForABetterFuture #UdinusUntukIndonesia #UdinusJuara #DinusJuara #KejuaraanCatur #Catur #UKMCaturUdinus"
@mfiks__ open spar
Yuk tag temen kamu yang jago main catur🙌
