comment
"@Regrann from @doscomedia - Are you ready for, Realese Party TealinuxOS 8?? Yok pada bersiap.... @Gedung E Lantai 3 (TVKU) Universitas Dian Nuswantoro. #doscom #tealinuxos8 #releaseparty #udinus #universitasdiannuswantoro #udinussemarang #udinusofficial #semaranghits #indovidgram #semarangvidgram #operatingsystem #linux #event #events #eventsdinus #kreatifitas #kreatifitasdinus #universitylife #universitylifedinus #dn #udn #dinus #dinushits #udinushits #universitasdiannuswantoro #kampustop #kampustopdinus #kampustopudinus #kampuskeren"
"Mantap banget, dimana ini? 👍"
